"Notes"	"County"	"County Code"	Births
	"Wayne County, OH"	"39169"	1502
	"Wood County, OH"	"39173"	1401
	"Unidentified Counties, OH"	"39999"	30558
	"Canadian County, OK"	"40017"	1763
	"Cleveland County, OK"	"40027"	2781
	"Comanche County, OK"	"40031"	1735
	"Oklahoma County, OK"	"40109"	11554
	"Tulsa County, OK"	"40143"	9120
	"Unidentified Counties, OK"	"40999"	23261
	"Clackamas County, OR"	"41005"	3999
	"Deschutes County, OR"	"41017"	1808
	"Douglas County, OR"	"41019"	1068
	"Jackson County, OR"	"41029"	2252
	"Lane County, OR"	"41039"	3459
	"Linn County, OR"	"41043"	1456
	"Marion County, OR"	"41047"	4467
	"Multnomah County, OR"	"41051"	8573
	"Washington County, OR"	"41067"	6570
	"Unidentified Counties, OR"	"41999"	9979
	"Adams County, PA"	"42001"	972
	"Allegheny County, PA"	"42003"	12882
	"Beaver County, PA"	"42007"	1561
	"Berks County, PA"	"42011"	4719
	"Blair County, PA"	"42013"	1205
	"Bucks County, PA"	"42017"	5775
	"Butler County, PA"	"42019"	1742
	"Cambria County, PA"	"42021"	1271
	"Centre County, PA"	"42027"	1171
	"Chester County, PA"	"42029"	5323
	"Cumberland County, PA"	"42041"	2612
	"Dauphin County, PA"	"42043"	3404
	"Delaware County, PA"	"42045"	6576
	"Erie County, PA"	"42049"	2994
	"Fayette County, PA"	"42051"	1296
	"Franklin County, PA"	"42055"	1786
	"Lackawanna County, PA"	"42069"	2076
	"Lancaster County, PA"	"42071"	7258
	"Lebanon County, PA"	"42075"	1581
	"Lehigh County, PA"	"42077"	4291
	"Luzerne County, PA"	"42079"	3284
	"Lycoming County, PA"	"42081"	1174
	"Mercer County, PA"	"42085"	1092
	"Monroe County, PA"	"42089"	1537
	"Montgomery County, PA"	"42091"	8702
	"Northampton County, PA"	"42095"	2789
	"Philadelphia County, PA"	"42101"	21288
	"Schuylkill County, PA"	"42107"	1313
	"Washington County, PA"	"42125"	1967
	"Westmoreland County, PA"	"42129"	2953
	"York County, PA"	"42133"	4933
	"Unidentified Counties, PA"	"42999"	16218
	"Kent County, RI"	"44003"	1552
	"Providence County, RI"	"44007"	7173
	"Washington County, RI"	"44009"	852
	"Unidentified Counties, RI"	"44999"	1061
